State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Haryana,Karnal,132040,True,True,,,,,False,True,,False
Haryana,Karnal,132041,False,True,,,,,False,True,,False
Haryana,Karnal,132046,False,True,,,,,False,True,,False
Haryana,Karnal,132054,False,True,,,,,False,True,,False
Haryana,Panipat,132101,True,True,,,,,False,True,,False
Haryana,Panipat,132102,True,True,,,,,False,True,,False
Haryana,Panipat,132103,True,True,,,,,False,True,,False
Haryana,Panipat,132104,True,True,,,,,False,True,,False
Haryana,Panipat,132105,True,True,,,,,False,True,,False
Haryana,Panipat,132106,True,True,,,,,False,True,,False
Haryana,Panipat,132107,True,True,,,,,False,True,,False
Haryana,Panipat,132108,True,True,,,,,False,True,,False
Haryana,Panipat,132110,True,True,,,,,False,True,,False
Haryana,Panipat,132113,True,True,,,,,False,True,,False
Haryana,Karnal,132114,True,True,,,,,False,True,,False
Haryana,Panipat,132115,True,True,,,,,False,True,,False
Haryana,Karnal,132116,False,True,,,,,False,True,,False
Haryana,Karnal,132117,False,True,,,,,False,True,,False
Haryana,Karnal,132118,True,True,,,,,False,True,,False
Haryana,Panipat,132122,True,True,,,,,False,True,,False
Haryana,Panipat,132123,False,True,,,,,False,True,,False
Haryana,Panipat,132140,True,True,,,,,False,True,,False
Haryana,Panipat,132145,True,True,,,,,False,True,,False
Haryana,Panipat,132151,False,True,,,,,False,True,,False
Haryana,Karnal,132152,False,True,,,,,False,True,,False
Haryana,Karnal,132157,True,True,,,,,False,True,,False
